Cantidad;PrecioUnitario;Total;NumeroBultos;Trimestre;Mes;Anio;Establecimiento;FormaPago;Discapacidad;EstadoContribuyente;Género;EstadoCivil;Ciudad;Instruccion;TipoPersona;Producto (Etiqueta)
3;16;48;3;2;5;2018;1;2;2;1;2;1;39;3;2;SISCO
3;15;45;3;2;5;2018;1;2;2;1;2;1;39;3;2;HARINA NORMAL
200;16,05;3210;200;2;5;2018;2;1;2;1;1;3;74;1;2;MAIZ AMARILLO NACIONAL
50;18,3;915;50;2;5;2018;2;1;2;1;1;3;74;1;2;MAIZ SELECTO
50;14,5;725;50;2;5;2018;2;1;2;1;1;3;74;1;2;HARINA NORMAL
475;16,3;7742,5;475;2;5;2018;1;1;2;1;1;1;151;1;2;MAIZ AMARILLO NACIONAL
475;16,3;7742,5;475;2;5;2018;1;2;2;1;1;1;151;1;2;MAIZ AMARILLO NACIONAL
50;18;900;51;2;5;2018;1;1;2;1;1;1;3;1;2;MAIZ SELECTO
19;14,8;287,12;19;2;5;2018;1;1;2;1;1;1;3;1;2;HARINA NORMAL
10;15;150;10;2;5;2018;1;1;2;1;2;1;39;3;2;MAIZ AMARILLO NACIONAL
40;14,8;592;40;2;5;2018;1;2;2;1;1;3;44;1;2;HARINA NORMAL
196;18,5;3626;196;2;5;2018;1;1;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
80;18,5;1480;80;2;5;2018;2;2;2;1;1;3;32;1;2;MAIZ SELECTO
50;15;750;50;2;5;2018;2;2;2;1;1;3;32;1;2;HARINA NORMAL
10;15,2;152;10;2;5;2018;1;2;2;1;1;3;118;1;2;MAIZ AMARILLO NACIONAL
35;17,5;612,5;35;2;5;2018;1;2;2;1;1;3;118;1;2;MAIZ SELECTO
2;16,5;33;2;2;5;2018;1;2;2;1;1;1;39;1;2;MAIZ AMARILLO NACIONAL
4;15;60;4;2;5;2018;1;2;2;1;1;1;39;1;2;HARINA NORMAL
110;17,5;1925;110;2;5;2018;1;2;2;1;1;3;49;1;2;MAIZ SELECTO
3;18,5;55,5;3;2;5;2018;1;2;2;1;1;3;113;2;2;MAIZ AMARILLO NACIONAL
22;16;344,96;21;2;5;2018;1;2;2;1;1;3;8;1;2;MAIZ AMARILLO NACIONAL
30;17,5;525;30;2;5;2018;1;2;2;1;1;3;8;1;2;MAIZ SELECTO
25;16,5;412,5;25;2;5;2018;2;4;2;1;1;3;54;1;1;MAIZ AMARILLO NACIONAL
20;18,5;370;20;2;5;2018;2;4;2;1;1;3;54;1;1;MAIZ SELECTO
50;18,5;925;50;2;5;2018;2;4;2;1;1;3;54;1;1;MAIZ MOLIDO FINO
70;16,5;1155;70;2;5;2018;2;4;2;1;1;3;54;1;1;MAIZ MOLIDO GRUESO
10;15;150;10;2;5;2018;2;4;2;1;1;3;54;1;1;HARINA NORMAL
1;17,5;17,5;1;2;5;2018;1;2;2;1;1;3;8;1;2;MAIZ AMARILLO NACIONAL
1;14,5;14,5;1;2;5;2018;1;2;2;1;1;3;8;1;2;HARINA NORMAL
10;16,3;163;10;2;5;2018;1;2;2;1;2;1;39;3;2;MAIZ AMARILLO NACIONAL
10;17,5;175;10;2;5;2018;1;2;2;1;2;1;39;3;2;MAIZ SELECTO
1;18,5;14,8;0;2;5;2018;1;2;2;1;2;1;39;3;2;MAIZ SELECTO FINO
10;14,8;148;10;2;5;2018;1;2;2;1;2;1;39;3;2;HARINA NORMAL
20;16;313,6;19;2;5;2018;1;2;2;1;1;3;8;1;2;MAIZ AMARILLO NACIONAL
10;17,5;175;10;2;5;2018;1;2;2;1;1;3;8;1;2;MAIZ SELECTO
14;14,55;210,98;14;2;5;2018;1;2;2;1;1;1;3;1;2;HARINA NORMAL
5;16,5;82,5;5;2;5;2018;1;2;2;1;2;1;8;1;2;MAIZ AMARILLO NACIONAL
5;17,5;87,5;5;2;5;2018;1;2;2;1;2;1;8;1;2;MAIZ SELECTO
5;16;80;5;2;5;2018;1;2;2;1;2;1;61;1;2;MAIZ AMARILLO NACIONAL
12;17,5;210;12;2;5;2018;1;2;2;1;2;1;61;1;2;MAIZ SELECTO
15;16,5;247,5;15;2;5;2018;2;1;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
30;18,5;555;30;2;5;2018;2;1;2;1;1;3;50;1;2;MAIZ SELECTO
2;16,5;33;2;2;5;2018;1;2;2;1;2;1;51;1;2;MAIZ AMARILLO NACIONAL
2;18,5;37;2;2;5;2018;1;2;2;1;2;1;51;1;2;MAIZ SELECTO
100;16,25;1625;100;2;5;2018;2;1;2;1;1;3;74;1;2;MAIZ AMARILLO NACIONAL
100;18,5;1850;100;2;5;2018;2;1;2;1;1;3;74;1;2;MAIZ SELECTO
50;14,5;725;50;2;5;2018;2;1;2;1;1;3;74;1;2;HARINA NORMAL
45;15;675;45;2;5;2018;1;2;2;1;1;3;15;1;2;HARINA NORMAL
2;18,5;37;2;2;5;2018;1;2;2;1;1;3;90;1;2;MAIZ SELECTO
15;15;225;15;2;5;2018;1;2;2;1;1;3;90;1;2;HARINA NORMAL
22046;16,9;372577,4;22046;2;5;2018;1;1;2;1;1;3;38;2;1;MAIZ AMARILLO NACIONAL
582;16;9312;582;2;5;2018;1;2;2;3;1;3;113;1;2;MAIZ AMARILLO NACIONAL
252;16,5;4158;252;2;5;2018;1;2;2;1;1;3;42;1;2;MAIZ AMARILLO NACIONAL
65;16;1036,8;64;2;5;2018;1;2;2;1;1;3;42;1;2;SISCO
15;15;225;15;2;5;2018;1;2;2;1;1;3;42;1;2;HARINA NORMAL
194;16,5;3201;194;2;5;2018;2;2;2;3;1;3;113;1;2;MAIZ MOLIDO GRUESO
150;16;2400;150;2;6;2018;1;2;2;1;2;1;8;2;2;MAIZ AMARILLO NACIONAL
24;18,5;448,63;24;2;6;2018;1;2;2;1;1;1;3;1;2;MAIZ SELECTO
10;16;160;10;2;6;2018;1;2;2;1;2;3;49;1;2;MAIZ AMARILLO NACIONAL
15;18;270;15;2;6;2018;1;2;2;1;2;3;49;1;2;MAIZ SELECTO
2;14,5;29;2;2;6;2018;1;2;2;1;2;3;49;1;2;HARINA NORMAL
10;16;160;10;2;6;2018;2;2;2;1;1;3;90;1;2;MAIZ AMARILLO NACIONAL
475;16,3;7742,5;475;2;6;2018;1;2;2;1;1;3;151;2;2;MAIZ AMARILLO NACIONAL
15;17,5;262,5;15;2;6;2018;1;2;2;1;1;3;3;1;2;MAIZ SELECTO
147;18,5;2719,5;147;2;6;2018;1;1;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
